timestamp,proyecto_o_repo,ruta_relativa,numero_linea,tipo_hallazgo,fragmento_original,texto_reemplazado,estado
2026-09-14T13:31:10+02:00,varnatir-web-v3,styles.css,3516,contenido,".legend-dot.valnatir, .legend-dot.varnatir {",".legend-dot.valnatir {",remediado
2026-09-14T13:31:22+02:00,varnatir-web-v3,app.js,369,contenido,"tabValnatir = document.getElementById('tab-valnatir') || document.getElementById('tab-varnatir')","tabValnatir = document.getElementById('tab-valnatir')",remediado
2026-09-14T13:31:22+02:00,varnatir-web-v3,app.js,371,contenido,"panelValnatir = document.getElementById('panel-valnatir') || document.getElementById('panel-varnatir')","panelValnatir = document.getElementById('panel-valnatir')",remediado
2026-09-14T13:31:22+02:00,varnatir-web-v3,app.js,376,contenido,"if (type === 'valnatir' || type === 'varnatir')","if (type === 'valnatir')",remediado
2026-09-14T13:31:26+02:00,varnatir-web-v3,app.js,761,contenido,"isStoredActive = (localStorage.getItem('valnatir_review_active') || localStorage.getItem('varnatir_review_active'))","isStoredActive = localStorage.getItem('valnatir_review_active')",remediado
2026-09-14T13:31:30+02:00,varnatir-web-v3,app.js,809,contenido,"localStorage.getItem('valnatir_sheets_webhook') || localStorage.getItem('varnatir_sheets_webhook')","localStorage.getItem('valnatir_sheets_webhook')",remediado
2026-09-14T13:31:30+02:00,varnatir-web-v3,app.js,817,contenido,"localStorage.removeItem('varnatir_sheets_webhook');","[eliminado]",remediado
2026-09-14T13:31:35+02:00,varnatir-web-v3,app.js,843,contenido,"localStorage.getItem('valnatir_patchnotes') || localStorage.getItem('varnatir_patchnotes')","localStorage.getItem('valnatir_patchnotes')",remediado
2026-09-14T13:32:00+02:00,varnatir-web-v3,assets/brand/varnatir_isotipo.svg,N/A,nombre_archivo,varnatir_isotipo.svg,valnatir_isotipo.svg (ya existente; residual para rm),preparado_script
2026-09-14T13:32:00+02:00,varnatir-web-v3,assets/brand/varnatir_isotipo_white.svg,N/A,nombre_archivo,varnatir_isotipo_white.svg,valnatir_isotipo_white.svg (ya existente; residual para rm),preparado_script
